Date,Open,High,Low,Close,Adj Close,Volume,Number,return,,,,,,
2019-02-25,29.9,31.17,29.559999,31.139999,31.139999,20440400,2,-0.020446744,0,0.979553256,,,,
2019-02-28,31.450001,31.559999,30.799999,31.41,31.41,15130400,5,1,,,,,,
2019-03-04,29.639999,32.299999,29.27,30.709999,30.709999,44720200,2,-0.022285928,0,0.977714072,,,,
2019-03-07,32.18,33.650002,32.119999,33.009998,33.009998,39674100,5,1,,,,,,
2019-03-11,32.610001,32.610001,30.700001,30.809999,30.809999,26646200,2,-0.066646445,0,0.933353555,,,,
2019-03-14,29.65,29.704,29.040001,29.129999,29.129999,19738100,5,1,,,,,,
2019-03-18,28.809999,29.26,28.41,28.66,28.66,21265700,2,-0.016134535,0,0.983865465,,,,
2019-03-21,29.59,29.59,28.452,28.780001,28.780001,24321700,5,1,,,,,,
2019-03-25,32.139999,33,31.440001,32.240002,32.240002,44724400,2,0.120222407,1,1.120222407,,,,
2019-03-28,30.68,31.09,30.105,30.190001,30.190001,26202400,5,1,,,,,,
2019-04-01,28.969999,29.18,28.639999,28.74,28.74,21737300,2,-0.04802918,0,0.95197082,,,,
2019-04-04,28.700001,29.059999,28.360001,28.57,28.57,18960500,5,1,,,,,,
2019-04-08,28.07,28.280001,27.805,27.870001,27.870001,18316100,2,-0.02450119,0,0.97549881,,,,
2019-04-11,27.67,27.870001,27.41,27.5,27.5,19308100,5,1,,,,,,
2019-04-15,25.870001,26.959999,25.799999,25.92,25.92,25729500,2,-0.057454545,0,0.942545455,,,,
2019-04-18,25.799999,26.32,25.43,25.48,25.48,25767700,5,1,,,,,,
2019-04-22,25.75,25.959999,25.23,25.25,25.25,15260300,2,-0.009026688,0,0.990973312,,,,
2019-04-25,25.92,26.934999,25.639999,26.200001,26.200001,28389600,5,1,,,,,,
2019-04-29,25.450001,25.700001,25.235001,25.68,25.68,15286000,2,-0.019847366,0,0.980152634,,,,
2019-05-02,26.65,27.74,26.26,26.690001,26.690001,23935700,5,1,,,,,,
2019-05-06,27.959999,28.219999,26.66,26.860001,26.860001,43610300,2,0.006369427,1,1.006369427,,,,
2019-05-09,32.400002,33.290001,30.459999,30.549999,30.549999,60451000,5,1,,,,,,
2019-05-13,31.67,32.59,30.82,32.450001,32.450001,60055200,2,0.062193194,1,1.062193194,31,0.329787234,0.372068363,-0.131969601
